row_id,stratum,why,pickup_datetime,PULocationID,DOLocationID,passenger_count
65,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-06-24T11:59:04,264,264,1.0
66,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-01-04T21:54:36,132,265,1.0
67,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-04-15T13:09:43,10,265,1.0
68,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-05-05T10:52:44,265,265,2.0
69,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-02-08T21:41:25,48,265,0.0
70,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-02-07T09:30:42,264,264,1.0
71,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-06-21T20:24:27,264,264,1.0
72,no-geometry,"zone 264/265 (TLC 'Unknown'): NO ROW in zone_static by design (DR-04 condition 1), so the store must answer null and our path must report has_geometry = 0 — the two-sided assertion of the tolerance argument",2019-05-21T11:14:14,265,162,4.0
73,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-03-16T22:33:05,132,226,2.0
74,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-06-27T15:55:27,132,13,3.0
75,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-02-28T08:56:00,51,65,2.0
76,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-04-12T18:20:27,132,265,4.0
77,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-04-04T16:46:14,231,74,3.0
78,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-01-04T16:41:10,125,132,2.0
79,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-03-01T15:38:41,249,132,1.0
80,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-05-15T15:19:49,132,144,1.0
81,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-05-29T16:58:38,13,132,1.0
82,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-04-08T15:49:03,161,26,1.0
83,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-03-08T15:41:10,48,132,2.0
84,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-01-15T08:45:53,138,265,5.0
85,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-05-15T16:02:49,170,132,4.0
86,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-06-21T14:36:54,132,239,3.0
87,long-trip,"the 100-120 min band the contract admits, where KPI-12 is 0.103% and the champion's ceiling lives (docs/error_memo_m2.md 5)",2019-06-28T15:08:04,132,163,2.0
